title,label
台積電赴美設廠慘了？郭正亮爆背後危機：即將面對這事 - Yahoo奇摩新聞,Unchanged
台積電除息、超級央行周、航運法說 本周大事預告 - Yahoo奇摩股市,Unchanged
台積電11月營收2227億年增50.2％ 日媒：有望在日建新工廠 - Yahoo奇摩股市,Unchanged
台積電 不排除在日續蓋新廠 - Yahoo奇摩股市,Unchanged
新產能到位，台積電11月營收月增近6%，Q4業績續衝新高無虞 - Yahoo奇摩股市,Unchanged
台積電11月營收攀2227億元創歷史新高 月增近6%、年增仍逾5成 - Yahoo奇摩新聞,Unchanged
不只台積電！龔明鑫：台半導體已掌握供應鏈核心 - Yahoo奇摩新聞,Unchanged
台積電、聯發科反攻，台股指數止跌彈升 - Yahoo奇摩股市,Unchanged
台積電擬在日本擴廠？公司回應不排除，但目前沒有具體計畫 - Yahoo奇摩股市,Unchanged
台積電赴美擴大投資 學者：緩和台灣五缺壓力 - Yahoo奇摩股市,Unchanged
【台股盤中】台積電勁揚、太陽能衝鋒 收復月線 - Yahoo奇摩股市,Unchanged
《台北股市》盤中焦點股：台積電、高力、茂迪、旺矽、普萊德、國巨 - Yahoo奇摩股市,Unchanged
台積電不排除在日本興建第二座工廠，熊本廠表現成關鍵 - Yahoo奇摩股市,Unchanged
台積電第3季市占率56.1% 穩居全球晶圓代工龍頭 - Yahoo奇摩股市,Unchanged
集邦：台積電7/6奈米訂單修正較預期嚴峻「第四季營收可能持平第三季」 - Yahoo奇摩股市,Unchanged
歐盟力拚晶片製造 瞄準台積電、英特爾、三星 - Yahoo奇摩新聞,Unchanged
台積電股價守住半年線、市值守12兆元 - Yahoo奇摩新聞,Unchanged
《半導體》台積電股價守住半年線、市值守12兆元 - Yahoo奇摩股市,Unchanged
"台積電連五跌，大盤震盪失守月線，14,500點攻防戰 - Yahoo奇摩股市",Unchanged
挺完台積電後挺台灣珍奶！AIT處長孫曉雅訪「Sharetea歇腳亭」 - Yahoo奇摩新聞,Unchanged
《半導體》台積電赴美風光開廠王牌分析師驚曝3大未爆彈：不妙 - Yahoo奇摩股市,Unchanged
台積電美國投資倍增 供應商營運可望受惠 - Yahoo奇摩股市,Unchanged
《盤中解析》台股跟跌台積電、聯發科 Q4指數打底、7大族群可留意 - Yahoo奇摩股市,Unchanged
《台北股市》台積電續弱 台股回探月線 - Yahoo奇摩股市,Unchanged
半導體成戰略物資 台積電應邀全球布局、根留台灣 - Yahoo奇摩股市,Unchanged
台積電美國鳳凰城新廠有多大？空拍機畫面展示全貌 - Yahoo奇摩新聞,Unchanged
台積電加碼美國投資 陸行之提六疑問 - Yahoo奇摩股市,Down
【台積慶上機】基辛格推特祝賀台積電 本人來台關心生態系夥伴永續發展與...「乖乖」 - Yahoo奇摩股市,Down
3巨頭出席台積電亞利桑那州廠移機 市值達2.8兆美元 - Yahoo奇摩股市,Down
台積電供應鏈吃香喝辣 6家獲利成長超過100% - Yahoo奇摩股市,Down
《經濟》台積電赴美 吳東亮：台灣不會空洞化 - Yahoo奇摩股市,Down
【台股盤後】台積電翻黑金融抗跌 台股收跌98點 - Yahoo奇摩股市,Down
《產業》到美設廠引爆「去台化」 吳東亮：台積電不去競爭對手也會去 - Yahoo奇摩股市,Down
【台積電上機】3.3兆美元市值力挺站台！台積電ADR不給力 現股躺平未上演激情 - Yahoo奇摩新聞,Down
【台積慶上機】投資人該怎麼看台積電砸重金？陸行之：對外資分析師不算好消息 - Yahoo奇摩新聞,Down
張忠謀2005年就考慮在美國設廠 為何台積電鳳凰城新廠非他原意？ 原來華府看待台積 因川普上台180度轉彎！ - Yahoo奇摩股市,Down
台積電設廠神助攻！半導體檢測廠閎康受惠裙帶效應 - Yahoo奇摩新聞,Down
《半導體》台積電豪砸1.2兆赴美 真的是棄台？紐時：避險大陸威脅 - Yahoo奇摩股市,Down
29家績優公司出爐！勞動部推企業永續 台積電、聯電獲選 - Yahoo奇摩新聞,Down
權證市場焦點－台積電 除息行情可期 - Yahoo奇摩股市,Down
台積電赴美設廠遭指掏空 魏哲家：門都沒有 - Yahoo奇摩股市,Down
搶搭台積電「淘晶熱」 台灣餐飲品牌插旗鳳凰城 - Yahoo奇摩股市,Down
台積電宣布擴大AZ廠投資 總金額400億美元「美國史上最大外商投資案之一」 - Yahoo奇摩股市,Down
【台股盤後】台積電領跌 挫251點收最低14728.88點 - Yahoo奇摩股市,Down
〈焦點股〉台積電美國廠上機典禮前夕 供應鏈股價抗跌 - Yahoo奇摩股市,Down
台股開盤下跌25點 台積電下挫1元至488元 - Yahoo奇摩新聞,Down
《台北股市》台積電持續整理 台股萬五關前震盪 - Yahoo奇摩股市,Down
台積電ADR5日上漲0.12美元漲幅0.15%折台股497.15元 - Yahoo奇摩股市,Down
拜登將出席台積電移機典禮 宣揚美國製造政績 - Yahoo奇摩股市,Down
台積電紅翻黑 台股收漲10點萬五關卡得而復失 - Yahoo奇摩股市,Down
獨／台積電員工「懷美國夢」轉調AZ廠 盼孩出生就是勝利組 - Yahoo奇摩新聞,Down
台積電臉綠 台股小漲10點收14980點 萬五得而復失 - Yahoo奇摩新聞,Down
【台股盤後】台積電尾盤翻黑 失守萬五 - Yahoo奇摩股市,Down
《盤中解析》台積電穩盤驚驚漲 萬五又到手 - Yahoo奇摩股市,Down
台股萬五關前震盪 早盤漲30點 台積電小拉至493元 - Yahoo奇摩股市,Down
比台積電領更多！台達電「研替預聘」瘋搶才、到職爽領15萬獎金 - Yahoo奇摩新聞,Down
台積電摜壓、鴻家軍撐盤 台股跌42點收14970點 周線連5紅 - Yahoo奇摩股市,Unchanged
〈房產〉台積電設廠話題退燒 高雄法拍移轉大增22.8% - Yahoo奇摩股市,Unchanged
台積電熄火，軍工股為盤面重點之一 - Yahoo奇摩股市,Unchanged
